# tag	rounds	m	x	collision_rounds	precompression_timeout_seconds	total_timeout_seconds
c03_r1_m1_x5000_cr1	1	1	5000	1	900	5400
c08_r1_m1_x2000_cr2	1	1	2000	2	1200	5400
c13_r1_m2_x5000_cr1	1	2	5000	1	900	5400
