mc_r2_b3_c1_p05,1000000,584433,0.9843,0.4944,0.1899,328.0,487635
mc_r2_b3_c1_p05,2000000,653732,0.9714,0.5584,0.2615,443,965708
mc_r2_b3_c1_p05,3000000,659667,0.9476,0.5578,0.2703,447,1421083
mc_r2_b3_c1_p05,4000000,660098,0.9272,0.5545,0.2745,431.0,1873921
mc_r2_b3_c1_p05,5000000,657988,0.9108,0.5496,0.276,415.0,2328209
mc_r2_b3_c1_p05,6000000,656513,0.8976,0.5454,0.2767,401.0,2784251
mc_r2_b3_c1_p05,7000000,655202,0.8865,0.5414,0.2769,391,3243637
mc_r2_b3_c1_p05,8000000,653800,0.8768,0.5377,0.2771,386.0,3703923
mc_r2_b3_c1_p05,9000000,652958,0.8693,0.5342,0.2774,380.0,4165750
mc_r2_b3_c1_p05,10000000,651914,0.8623,0.5306,0.277,378.0,4629298
mc_r2_b3_c1_p05,11000000,651578,0.8563,0.5284,0.2775,375.0,5092678
mc_r2_b3_c1_p05,12000000,651212,0.851,0.5258,0.2781,373.0,5556467
mc_r2_b3_c1_p05,13000000,650699,0.8459,0.5231,0.2781,374,6021258
mc_r2_b3_c1_p05,14000000,650218,0.8415,0.5211,0.2775,372,6487147
mc_r2_b3_c1_p05,15000000,649643,0.8374,0.5188,0.2775,371.0,6953841
mc_r2_b3_c1_p05,16000000,649032,0.834,0.5172,0.2773,369,7421596
mc_r2_b3_c1_p05,17000000,648624,0.8306,0.5152,0.2771,369,7889842
mc_r2_b3_c1_p05,18000000,648320,0.8276,0.5137,0.277,370,8357802
mc_r2_b3_c1_p05,19000000,648159,0.825,0.512,0.2768,367,8825871
mc_r2_b3_c1_p05,20000000,647847,0.8228,0.5107,0.2767,366.0,9293130
mc_r2_b3_c1_p05,21000000,647760,0.8205,0.5095,0.2767,365.0,9761097
mc_r2_b3_c1_p05,21785058,647684,0.8188,0.5086,0.2765,412,10128798
mc_r2_b3_c1_p09,1000000,508114,0.9779,0.3524,0.1213,201.0,876846
mc_r2_b3_c1_p09,2000000,568616,0.9692,0.4596,0.1777,293.0,1759059
mc_r2_b3_c1_p09,3000000,606916,0.9636,0.5164,0.2151,360.0,2641019
mc_r2_b3_c1_p09,4000000,629578,0.9578,0.5445,0.2382,400,3516803
mc_r2_b3_c1_p09,5000000,636377,0.9484,0.5542,0.246,409.0,4379787
mc_r2_b3_c1_p09,6000000,638485,0.9393,0.5574,0.2501,409,5239369
mc_r2_b3_c1_p09,7000000,639073,0.9307,0.5584,0.254,400,6096768
mc_r2_b3_c1_p09,8000000,637743,0.9219,0.5554,0.2546,388,6954078
mc_r2_b3_c1_p09,9000000,637231,0.9139,0.5524,0.2563,376.0,7813022
mc_r2_b3_c1_p09,10000000,636889,0.9064,0.5496,0.2574,367.0,8672500
mc_r2_b3_c1_p09,11000000,636093,0.8995,0.5463,0.2575,363.0,9533004
mc_r2_b3_c1_p09,12000000,636092,0.8936,0.5438,0.2586,360,10393888
mc_r2_b3_c1_p09,13000000,635485,0.8881,0.5413,0.2587,358.0,11255423
mc_r2_b3_c1_p09,14000000,634792,0.8828,0.539,0.2588,356.0,12117605
mc_r2_b3_c1_p09,15000000,634339,0.8777,0.5363,0.259,354,12980862
mc_r2_b3_c1_p09,16000000,633876,0.8731,0.5341,0.259,353.0,13843831
mc_r2_b3_c1_p09,17000000,633314,0.8693,0.5322,0.2593,354,14707822
mc_r2_b3_c1_p09,18000000,633246,0.8658,0.5307,0.2599,354.0,15572573
mc_r2_b3_c1_p09,19000000,633175,0.8623,0.5293,0.2598,355,16436971
mc_r2_b3_c1_p09,20000000,633374,0.8585,0.5274,0.2605,354.0,17301612
mc_r2_b3_c1_p09,21000000,632166,0.8553,0.5253,0.2604,354,18166478
mc_r2_b3_c1_p09,21785058,631717,0.8528,0.5238,0.2603,391,18846199
