mc_r2.5_p09,1000000,508114,0.9779,0.3524,0.1213,201.0
mc_r2.5_p09,2000000,568616,0.9692,0.4596,0.1777,293.0
mc_r2.5_p09,3000000,606916,0.9636,0.5164,0.2151,360.0
mc_r2.5_p09,4000000,635699,0.9599,0.552,0.2432,408.0
mc_r2.5_p09,5000000,658286,0.9569,0.576,0.2647,447
mc_r2.5_p09,6000000,676309,0.9551,0.5923,0.2819,474.0
mc_r2.5_p09,7000000,689912,0.9525,0.6004,0.295,485.0
mc_r2.5_p09,8000000,701255,0.9497,0.6043,0.3049,485
mc_r2.5_p09,9000000,712138,0.9474,0.6081,0.314,483.0
mc_r2.5_p09,10000000,722550,0.9449,0.6109,0.3225,484.0
mc_r2.5_p09,11000000,730731,0.942,0.6098,0.3279,488.0
mc_r2.5_p09,12000000,737982,0.9394,0.6093,0.333,491
mc_r2.5_p09,13000000,744868,0.9368,0.6088,0.3369,495
mc_r2.5_p09,14000000,750969,0.9344,0.6081,0.3408,500
mc_r2.5_p09,15000000,756426,0.9321,0.6078,0.344,503.0
mc_r2.5_p09,16000000,760953,0.9299,0.6073,0.3464,506
mc_r2.5_p09,17000000,765360,0.9275,0.6072,0.3485,509.0
mc_r2.5_p09,18000000,768683,0.9252,0.606,0.3506,511
mc_r2.5_p09,19000000,771267,0.9226,0.6051,0.3517,513.0
mc_r2.5_p09,20000000,772081,0.9201,0.6036,0.352,513.0
mc_r2.5_p09,21000000,772196,0.9172,0.6015,0.3522,515
mc_r2.5_p09,22000000,772311,0.9149,0.6001,0.3522,513
mc_r2.5_p09,23000000,772297,0.9125,0.5985,0.3522,513
mc_r2.5_p09,24000000,771885,0.9104,0.5964,0.3519,511.0
mc_r2.5_p09,25000000,772252,0.908,0.595,0.3519,511.0
mc_r2.5_p09,26000000,772115,0.9058,0.5931,0.351,510.0
mc_r2.5_p09,27000000,772074,0.9036,0.5917,0.3508,509.0
mc_r2.5_p09,28000000,771547,0.9014,0.5901,0.351,509.0
mc_r2.5_p09,29000000,771047,0.8995,0.5887,0.3508,508
mc_r2.5_p09,30000000,771188,0.8975,0.5873,0.3503,508.0
mc_r2.5_p09,31000000,770755,0.8955,0.5857,0.35,509
mc_r2.5_p09,32000000,770395,0.8937,0.5845,0.3499,509
mc_r2.5_p09,33000000,770537,0.8922,0.5837,0.3497,508
mc_r2.5_p09,34000000,770474,0.8903,0.582,0.3493,509.0
mc_r2.5_p09,35000000,770113,0.8888,0.5809,0.3495,509.0
mc_r2.5_p09,36000000,770236,0.887,0.5798,0.3496,510.0
mc_r2.5_p09,36305000,770049,0.8865,0.5792,0.3491,537
